id	tier	category	english_cue	expression	anchor	example	sources	note
A215	response	Schémas d'argumentation	very concrete freedom	une liberté très concrète	une liberté très concrète	Cela montre qu'au quotidien, vivre seul offre une liberté très concrète qui peut sembler plus reposante.	Famille P11	Daily benefit.
A216	response	Schémas d'argumentation	firm, fair, and explained	ferme, juste et expliquée	ferme, juste et expliquée	Enfin, parce que l'autorité la plus efficace est souvent ferme, juste et expliquée, plutôt que purement imposée.	Famille P12	Effective authority.
A217	response	Schémas d'argumentation	reassuring framework	un cadre rassurant	un cadre rassurant	L'autorité parentale lui apporte un cadre rassurant, qui le protège et l'aide à grandir sereinement.	Famille P12; Famille P2; Environnement P13	Positive authority.
A218	response	Schémas d'argumentation	know how to justify rules	savoir justifier les règles	savoir les justifier	En effet, fixer des règles, c'est aussi savoir les justifier.	Famille P12	Explain limits, don't just impose them.
A219	response	Schémas d'argumentation	value both languages in parallel	valoriser les deux langues en parallèle	valoriser les deux langues en parallèle	Enfin, parce que le meilleur équilibre consiste à valoriser les deux langues en parallèle.	Famille P13	Bilingual balance.
A220	response	Étranger et immigration	school and social integration	l'intégration scolaire et sociale	l'intégration scolaire et sociale	Ensuite, je pense que la langue du pays d'accueil reste essentielle pour l'intégration scolaire et sociale.	Famille P13	Host-language reason.
A221	response	Schémas d'argumentation	asset for the brain	un atout pour le cerveau	un atout pour leur cerveau	Ce bilinguisme est un atout pour leur cerveau, leur ouverture culturelle et leurs futures opportunités.	Famille P13	Bilingualism benefit.
A222	response	Schémas d'argumentation	a matter of justice	une question de justice	une question de justice	D'abord, parce que ce partage est une question de justice entre les personnes qui vivent ensemble.	Famille P14	Fairness argument.
A223	response	Schémas d'argumentation	the household runs more smoothly	fonctionner plus calmement	fonctionne plus calmement	À l'inverse, quand chacun participe à hauteur de ses moyens, le foyer fonctionne plus calmement et plus équitablement.	Famille P14	Result of shared responsibilities.
A224	response	Schémas d'argumentation	educational tool	un vrai outil d'éducation	un vrai outil d'éducation	Cela permet de comprendre que ces tâches sont aussi un vrai outil d'éducation.	Famille P14	Chores as training.
A225	response	Schémas d'argumentation	difficult economic context	un contexte économique difficile	contexte économique souvent difficile	D'abord, parce que cela répond à un contexte économique souvent difficile pour les jeunes adultes.	Famille P16	Justification.
A226	response	Famille et relations	put money aside	mettre de l'argent de côté	mettre de l'argent de côté	Rester chez ses parents permet d'économiser, de rembourser des prêts étudiants, de mettre de l'argent de côté pour un projet ou simplement de se stabiliser professionnellement.	Famille P16	Savings purpose.
A227	response	Schémas d'argumentation	stabilize professionally	se stabiliser professionnellement	se stabiliser professionnellement	Rester chez ses parents permet d'économiser, de rembourser des prêts étudiants, de mettre de l'argent de côté pour un projet ou simplement de se stabiliser professionnellement.	Famille P16	Transition goal.
A228	response	Schémas d'argumentation	study late in the evening	étudier tard le soir	étudier tard le soir	Par exemple, un étudiant qui travaille trois soirs par semaine et le week-end doit souvent étudier tard le soir ou très tôt le matin pour s'en sortir.	Santé P3	Concrete example of sacrifice.
A229	response	Schémas d'argumentation	provide more direct human support	apporter un soutien humain plus direct	apporter un soutien humain plus direct	Ensuite, parce que les citoyens, les associations et les bénévoles peuvent apporter un soutien humain plus direct.	Santé P4	Use for associations or volunteers.
A230	response	Schémas d'argumentation	a safety-net role	jouer un rôle de filet de sécurité	rôle de filet de sécurité	Cela montre que l'État joue un rôle de filet de sécurité que personne d'autre ne peut vraiment assurer.	Santé P4	Explain what the state ensures.
A231	response	Schémas d'argumentation	create a real human bond	créer un vrai lien humain	créer un vrai lien humain	Les associations et les bénévoles, eux, peuvent intervenir rapidement, écouter, accompagner et créer un vrai lien humain.	Santé P4	Volunteer-support benefit.
A232	response	Schémas d'argumentation	distributed equally	être réparti(e) de manière égale	répartie de manière égale	Ensuite, parce que l'offre bio n'est pas répartie de manière égale selon les quartiers et les lieux de vie.	Santé P7	Use for access disparities.
A233	response	Schémas d'argumentation	make quality food more accessible	rendre une alimentation de qualité plus accessible	rendre une alimentation de qualité plus accessible	À l'opposé, rendre une alimentation de qualité plus accessible serait un vrai progrès collectif.	Santé P7	Policy-solution phrase.
A234	shared	Schémas d'argumentation	encourage them differently	amener [qqn] à [qch] autrement	les y amener autrement	La vraie question est de savoir s'il faut vraiment obliger les enfants à faire du sport ou plutôt les y amener autrement.	Santé P8	Use instead of forcing participation.
A235	response	Schémas d'argumentation	suggest several activities	proposer plusieurs activités	proposer plusieurs activités	Enfin, parce qu'il vaut mieux proposer plusieurs activités et aider l'enfant à trouver celle qui lui correspond.	Santé P8	Parent strategy.
A236	response	Schémas d'argumentation	find the activity that suits them	trouver l'activité qui lui correspond	trouver celle qui lui correspond	Enfin, parce qu'il vaut mieux proposer plusieurs activités et aider l'enfant à trouver celle qui lui correspond.	Santé P8	Individualize activity choice.
A237	response	Schémas d'argumentation	take tastes into account	tenir compte de ses goûts	tenir compte de ses goûts	En effet, un enfant à qui l'on impose un sport qu'il déteste, au mauvais moment et sans tenir compte de ses goûts, risque de garder un très mauvais souvenir et de fuir toute activité physique plus tard.	Santé P8	Learner-choice principle.
A238	response	Schémas d'argumentation	a rather critical view	porter un regard plutôt critique	regard plutôt critique	À mon avis, je porte un regard plutôt critique sur ce phénomène, même si je peux comprendre certains cas individuels.	Santé P9	State a nuanced stance.
A239	response	Schémas d'argumentation	regain self-confidence	retrouver confiance en soi	retrouver confiance en elles	Une intervention bien pensée peut alors les aider à retrouver confiance en elles et à mieux vivre au quotidien.	Santé P9	Positive individual outcome.
A240	response	Schémas d'argumentation	regulate these products very strongly	encadrer très fortement ces produits	encadrer très fortement ces produits	À mon avis, l'État doit encadrer très fortement ces produits, mais une interdiction totale ne me semble pas la solution la plus efficace.	Santé P10	Balanced policy position.
A241	response	Schémas d'argumentation	prevention and education	la prévention et l'éducation	la prévention et l'éducation	Enfin, parce que la prévention et l'éducation sont souvent plus efficaces qu'une simple logique de punition.	Santé P10	Alternative to punishment.
A242	response	Schémas d'argumentation	limit their impact	limiter leur impact	limiter leur impact	L'État a donc un vrai rôle à jouer pour limiter leur impact, à travers les taxes, les restrictions de publicité, les avertissements sanitaires et les contrôles de vente aux mineurs.	Santé P10	Policy goal.
A243	response	Schémas d'argumentation	coherent reasons tied to health	des raisons cohérentes liées à [qch]	raisons cohérentes liées à la santé	D'abord, parce qu'il peut répondre à des raisons cohérentes liées à la santé, à l'éthique ou à l'environnement.	Santé P13	Justify a lifestyle choice.
A244	response	Schémas d'argumentation	rest on real personal reflection	reposer sur une vraie réflexion personnelle	une vraie réflexion personnelle	Cela montre que ce mode d'alimentation repose souvent sur une vraie réflexion personnelle.	Santé P13	Explain thoughtful choices.
A245	response	Schémas d'argumentation	the diversity of food choices	la diversité des choix alimentaires	la diversité des choix alimentaires	Cela montre que la diversité des choix alimentaires est tout à fait possible et même souhaitable.	Santé P13	Support pluralism.
A246	response	Environnement et transports	without relying only on a car	sans dépendre uniquement d'une voiture	sans dépendre uniquement d'une voiture	Une personne âgée qui a besoin d'aller régulièrement chez le médecin ou faire ses courses peut le faire sans dépendre uniquement d'une voiture.	Santé P14	Use for autonomy.
A247	response	Schémas d'argumentation	keep contact with others	garder un contact avec d'autres personnes	garder un contact avec d'autres personnes	À l'opposé, en ville, il est plus facile de garder un contact avec d'autres personnes, ne serait-ce que dans la rue ou au marché.	Santé P14	Use for social ties.
A248	response	Schémas d'argumentation	apply without distinction	s'appliquer sans distinction	s'applique sans distinction	En conclusion, je dirais que faire travailler les gens jusqu'à 70 ans n'est pas une mesure vraiment acceptable si elle s'applique sans distinction.	Santé P15	Criticize uniform policy.
A249	response	Schémas d'argumentation	physical or mental fatigue	la fatigue physique ou mentale	fatigue physique ou mentale	D'abord, parce que tous les métiers n'impliquent pas la même fatigue physique ou mentale.	Santé P15	Compare job strain.
A250	response	Schémas d'argumentation	take arduousness into account	tenir compte de la pénibilité	tiendrait compte de la pénibilité	À l'inverse, un système plus juste tiendrait compte de la pénibilité.	Santé P15	Use for fair policy.
A251	response	Schémas d'argumentation	radically different physical conditions	des conditions physiques radicalement différentes	des conditions physiques radicalement différentes	Par exemple, deux personnes du même âge peuvent avoir des conditions physiques radicalement différentes selon leur métier, leur logement, leur sommeil et leurs antécédents médicaux.	Santé P15	Stress individual variation.
A252	response	Schémas d'argumentation	years of contributions paid	le nombre d'années cotisées	le nombre d'années cotisées	En effet, on pourrait imaginer un système qui prenne en compte la pénibilité, le nombre d'années cotisées, l'état de santé et la situation familiale.	Santé P15	Retirement criterion.
A253	response	Schémas d'argumentation	genuine strengths	de vraies qualités	de vraies qualités	À mon avis, cette alimentation a de vraies qualités, mais elle souffre aussi de plusieurs dérives liées au mode de vie moderne.	Santé P16	Positive assessment.
A254	response	Schémas d'argumentation	in small doses	à petite dose	à petite dose	À mon avis, oui, le stress peut être stimulant, mais seulement à petite dose et pendant un temps limité.	Santé P17	Limit a benefit.
A255	response	Schémas d'argumentation	for a limited time	pendant un temps limité	pendant un temps limité	À mon avis, oui, le stress peut être stimulant, mais seulement à petite dose et pendant un temps limité.	Santé P17	Add time boundary.
A256	response	Schémas d'argumentation	a little stress	un peu de stress	un peu de stress	Tout d'abord, un peu de stress peut aider à se concentrer et à agir avec plus d'énergie.	Santé P17	Mild-stress expression.
A257	response	Schémas d'argumentation	regain a healthier balance	retrouver un équilibre plus sain	retrouver un équilibre plus sain	En revanche, des moments de repos réguliers et une bonne hygiène de vie permettent de retrouver un équilibre plus sain.	Santé P17	Recovery phrase.
A258	response	Schémas d'argumentation	reduce other essential activities	réduire d'autres activités essentielles	réduit d'autres activités essentielles	Tout d'abord, un usage excessif des jeux vidéo favorise la sédentarité et réduit d'autres activités essentielles.	Santé P19	Explain opportunity cost.
A259	response	Schémas d'argumentation	clear rules and suitable choices	des règles claires et des choix adaptés	des règles claires et des choix adaptés	Au contraire, avec des règles claires et des choix adaptés, l'impact peut être beaucoup plus limité.	Santé P19	Parental-control frame.
A260	response	Schémas d'argumentation	the role of parents	le rôle des parents	le rôle des parents	Cela permet de comprendre que le rôle des parents et la qualité du contenu sont essentiels.	Santé P19; Famille P1; Santé P2; Santé P8; Technologie P16	Responsibility phrase.
A261	response	Schémas d'argumentation	cover essential needs	couvrir les besoins essentiels	couvrir les besoins essentiels	À mon avis, il n'est pas nécessaire de gagner beaucoup d'argent, mais il faut au moins un revenu qui permette de couvrir les besoins essentiels.	Santé P20	State necessity.
A262	shared	Schémas d'argumentation	a basic condition	une condition de base	une condition de base	Cela montre qu'un revenu suffisant est une condition de base pour pouvoir vivre correctement.	Santé P20; Education P5	Minimum threshold.
A263	response	Schémas d'argumentation	beyond a certain income level	au-delà d'un certain niveau de revenu	au-delà d'un certain niveau de revenu	En effet, au-delà d'un certain niveau de revenu, ce qui fait vraiment la différence, c'est la santé, la qualité des liens humains, le temps libre et l'équilibre entre vie professionnelle et vie personnelle.	Santé P20; Economie P18	Mark threshold effect.
A264	response	Schémas d'argumentation	the quality of human ties	la qualité des liens humains	la qualité des liens humains	En effet, au-delà d'un certain niveau de revenu, ce qui fait vraiment la différence, c'est la santé, la qualité des liens humains, le temps libre et l'équilibre entre vie professionnelle et vie personnelle.	Santé P20	Non-material factor.
A265	response	Schémas d'argumentation	distinguish essentials from extras	distinguer l'essentiel du superflu	distinguer l'essentiel du superflu	Quelqu'un qui sait distinguer l'essentiel du superflu peut très bien vivre correctement avec un revenu raisonnable.	Santé P20	Consumption advice.
A266	response	Schémas d'argumentation	make daily life easier	faciliter la vie quotidienne	faciliter la vie quotidienne	À mon avis, non, un bon salaire n'est pas une condition du bonheur, même s'il peut faciliter la vie quotidienne.	Santé P22	Admit practical benefit.
A267	response	Schémas d'argumentation	not negligible	ne pas être négligeable	n'est pas négligeable	Cela montre que l'argent n'est pas négligeable et qu'il joue un vrai rôle dans la qualité de vie.	Santé P22	Avoid dismissing money.
A268	response	Schémas d'argumentation	in line with one's values	en accord avec ses valeurs	accord avec leurs valeurs	Par exemple, beaucoup de personnes qui décident de changer de vie pour un travail moins payé mais plus en accord avec leurs valeurs disent ensuite avoir gagné en qualité de vie.	Santé P22	Adapt possessive.
A269	response	Schémas d'argumentation	genuinely save lives	sauver vraiment des vies	sauvent vraiment des vies	Cela montre qu'il y a des situations dans lesquelles les médicaments sauvent vraiment des vies.	Santé P23	Strong pro-medicine point.
A270	response	Santé	actively influence one's health	influencer activement sa santé	influencer activement sa santé	Cela permet de comprendre qu'on peut influencer activement sa santé sans tout attendre des médicaments.	Santé P23	Agency phrase.
A271	response	Schémas d'argumentation	serve many purposes	servir à beaucoup de choses	sert à beaucoup de choses	D'abord, parce qu'il sert à beaucoup de choses : communiquer, se repérer et gérer de nombreuses démarches.	Technologie P2	Introduce practical functions
A272	response	Schémas d'argumentation	sources suited to one's needs	des sources adaptées à ses besoins	des sources adaptées à ses besoins	Enfin, parce que l'essentiel est de choisir des sources adaptées à ses besoins plutôt que de regarder la télévision par habitude.	Technologie P3	Use for personalization
A273	response	Technologie et médias	Internet is a neutral tool	Internet est un outil neutre	Internet est un outil neutre	En effet, Internet est un outil neutre.	Technologie P4	Use for balanced tech claims
A274	response	Schémas d'argumentation	a way to protect oneself	un moyen de se protéger	un moyen de se protéger	En revanche, choisir d'éviter ces formats peut être un moyen de se protéger pour préserver son équilibre.	Technologie P5	Justify avoidance
A275	response	Schémas d'argumentation	a particularly practical format	un format particulièrement pratique	un format particulièrement pratique	Pour des personnes qui n'ont pas le temps de lire la presse en détail, c'est un format particulièrement pratique.	Technologie P6	Use for accessibility
A276	shared	Schémas d'argumentation	Images make information more concrete	Les images rendent l'information plus concrète	Les images rendent l'information plus concrète	Les images rendent l'information plus concrète, à condition qu'elles soient accompagnées d'explications claires.	Technologie P6	Explains the power of images to clarify information.
A277	shared	Schémas d'argumentation	have a special strength compared with	avoir une force particulière par rapport à [qch]	force particulière par rapport aux médias	Cela permet de comprendre que la télévision a encore une force particulière par rapport aux médias purement écrits.	Technologie P6	TV-versus-media frame
A278	response	Schémas d'argumentation	depend on the goal pursued	dépendre de l'objectif poursuivi	dépend surtout de l'objectif poursuivi	Ensuite, parce que leur valeur dépend surtout de l'objectif poursuivi et du temps qu'on y consacre.	Technologie P10	Link value to purpose
A279	shared	Schémas d'argumentation	make much better use of something	tirer bien mieux profit de [qch]	tire bien mieux profit	Par exemple, une personne qui se fixe quelques minutes par jour pour consulter des contenus précis tire bien mieux profit des réseaux sociaux que celle qui les ouvre dès qu'elle a un moment libre.	Technologie P10	Productive-use phrase
A280	response	Schémas d'argumentation	depend on the person's profile	dépendre du profil de la personne	du profil de la personne	Enfin, parce que la possibilité de vivre sans téléphone dépend beaucoup du profil de la personne et de son environnement.	Technologie P11	Context-dependent argument
A281	response	Schémas d'argumentation	replace most functions	remplacer la plupart des fonctions	remplacer la plupart des fonctions	En effet, on peut remplacer la plupart des fonctions du téléphone portable par d'autres solutions : un ordinateur à la maison pour Internet, un téléphone fixe pour les appels, un calendrier papier, des cartes physiques et certaines démarches faites en personne ou par courrier.	Technologie P11	Alternative-solution frame
A282	response	Schémas d'argumentation	have special meaning	avoir une signification particulière	une signification particulière	L'effort, le temps, l'écriture, le choix du papier, tout cela a une signification particulière.	Technologie P12	Explain personal value
A283	response	Technologie et médias	not depend on any technology	ne dépendre d'aucune technologie	elle ne dépend d'aucune technologie	Enfin, je pense que la lettre manuscrite garde un avantage que le numérique n'a pas : elle ne dépend d'aucune technologie et traverse le temps.	Technologie P12	Independence argument.
A284	response	Schémas d'argumentation	organize daily life better	mieux organiser la vie quotidienne	mieux organiser la vie quotidienne	Ensuite, parce qu'ils permettent de rester en contact malgré la distance et de mieux organiser la vie quotidienne.	Technologie P13	Practical-life benefit
A285	response	Schémas d'argumentation	send someone a message	envoyer un message à [qqn]	lui envoyer un message	En effet, en quelques secondes, on peut appeler quelqu'un, lui envoyer un message, lui partager une information ou une photo.	Technologie P13	Replace pronoun with slot
A286	response	Schémas d'argumentation	no need to wait	plus besoin d'attendre	Plus besoin d'attendre	Plus besoin d'attendre d'être à la maison ou au bureau pour communiquer.	Technologie P13	Short efficiency frame
A287	response	Schémas d'argumentation	enjoy time with one's family	profiter de sa famille	profiter de leur famille	Par exemple, certaines personnes coupent volontairement leurs écrans le week-end pour mieux profiter de leur famille et de leurs activités personnelles.	Technologie P15	Personal-life benefit.
A288	response	Schémas d'argumentation	distinguish the truly useful tools	distinguer les outils vraiment utiles	distinguer les outils vraiment utiles	Ensuite, je pense que le vrai enjeu n'est pas de tout refuser, mais de distinguer les outils vraiment utiles de ceux qui créent surtout de la dépendance.	Technologie P15	For balanced evaluations.
A289	shared	Schémas d'argumentation	a middle way between...	une voie intermédiaire entre […] et […]	une voie intermédiaire entre	Cela permet de comprendre qu'il existe une voie intermédiaire entre le tout-numérique et le rejet total.	Technologie P15	Useful compromise frame.
A290	response	Schémas d'argumentation	strictly frame this use	encadrer très strictement cet usage	encadrer très strictement cet usage	À mon avis, il vaut mieux encadrer très strictement cet usage que l'interdire de façon absolue dans tous les cas.	Technologie P16	Prefer over absolute bans.
A291	response	Schémas d'argumentation	be introduced gradually	être introduit progressivement	être introduit progressivement	Je pense d'abord que chez les enfants, le téléphone portable doit être introduit progressivement selon l'âge et la maturité.	Technologie P16	For staged access.
A292	response	Schémas d'argumentation	parents need to explain the rules clearly	il faut que les parents expliquent clairement les règles	il faut que les parents expliquent clairement les règles	En effet, il faut que les parents expliquent clairement les règles : pas de téléphone à table ou dans la chambre la nuit, temps d'écran limité et applications choisies ensemble.	Technologie P16	Direct recommendation using falloir que + subjunctive.
A293	response	Schémas d'argumentation	costs too much	coûter trop cher	coûtent trop cher	À mon avis, les voyages dans l'espace coûtent trop cher au regard des besoins actuels de la société.	Technologie P17	Cost objection.
A294	response	Schémas d'argumentation	the sums involved are huge	les sommes engagées sont énormes	les sommes engagées sont énormes	D'abord, parce que les sommes engagées sont énormes face aux urgences sociales et environnementales.	Technologie P17	Emphasizes scale.
A295	shared	Schémas d'argumentation	without leaving home	sans bouger de chez soi	sans bouger de chez soi	En effet, en quelques minutes, on peut chercher un produit, lire des avis, comparer plusieurs vendeurs et finaliser sa commande sans bouger de chez soi.	Technologie P18; Culture P14	Convenience detail.
A296	response	Schémas d'argumentation	support local shops	soutenir les commerces locaux	soutenir les commerces locaux	En effet, aller dans un commerce de proximité, échanger avec un vendeur, demander conseil et soutenir les commerces locaux a aussi une vraie valeur sociale et économique.	Technologie P18	Community argument.
A297	response	Schémas d'argumentation	within a clear framework	dans un cadre clair	dans un cadre clair	À mon avis, oui, ils peuvent y participer de façon positive, mais seulement dans un cadre clair.	Technologie P19	Condition for benefits.
A298	response	Schémas d'argumentation	develop logic and coordination	développer la logique et la coordination	développer la logique, la coordination	D'abord, parce que certains jeux peuvent réellement développer la logique, la coordination et la rapidité de réaction.	Technologie P19	Cognitive benefit.
A299	response	Schémas d'argumentation	a real educational contribution	un véritable apport éducatif	un véritable apport éducatif	Cela montre qu'un bon jeu peut avoir un véritable apport éducatif.	Technologie P19	Positive evaluation.
A300	response	Schémas d'argumentation	has real advantages	présente de vrais avantages	présente de vrais avantages	Ensuite, je pense que vivre sans voiture présente de vrais avantages, à la fois pour le porte-monnaie et pour l'environnement.	Technologie P20	Introduce benefits.
A301	shared	Schémas d'argumentation	keep a critical mindset	garder un esprit critique	garder un esprit critique	Ensuite, parce qu'il me permet de croiser facilement plusieurs sources et donc de garder un esprit critique.	Technologie P21; Technologie P6; Technologie P10	Evaluation skill.
A302	response	Schémas d'argumentation	cover many more topics	couvrir beaucoup plus de sujets	couvrir beaucoup plus de sujets	Cela montre qu'Internet me permet de couvrir beaucoup plus de sujets en peu de temps.	Technologie P21	Breadth argument.
A303	response	Schémas d'argumentation	cross-check several sources more easily	croiser plus facilement plusieurs sources	croiser plus facilement plusieurs sources	Ensuite, je pense qu'Internet me permet aussi de croiser plus facilement plusieurs sources et donc de garder davantage d'esprit critique.	Technologie P21	Critical method.
A304	response	Schémas d'argumentation	freely choose the time and duration	choisir librement le moment et la durée	choisir librement le moment et la durée	Contrairement à la télévision ou à la radio, Internet s'adapte à mon rythme, à condition que je puisse choisir librement le moment et la durée.	Technologie P21	Expresses control over when and how long an activity lasts.
A305	response	Schémas d'argumentation	choose my pace	choisir mon rythme	choisir mon rythme	Personnellement, je préfère Internet, parce qu'il me permet de choisir mon rythme et de comparer facilement plusieurs sources.	Technologie P24	Personal preference reason.
A306	response	Schémas d'argumentation	according to my needs	selon mes besoins	selon mes besoins	D'abord, parce qu'il me permet d'accéder rapidement à des informations variées selon mes besoins.	Technologie P24	Need-based use.
A307	response	Schémas d'argumentation	go from a quick summary to...	passer d'un résumé rapide à […]	passer facilement d'un résumé rapide	Ensuite, parce que je peux passer facilement d'un résumé rapide à un contenu plus détaillé quand un sujet m'intéresse vraiment.	Technologie P24	Depth progression.
A308	response	Schémas d'argumentation	more detailed content	un contenu plus détaillé	un contenu plus détaillé	Ensuite, parce que je peux passer facilement d'un résumé rapide à un contenu plus détaillé quand un sujet m'intéresse vraiment.	Technologie P24	Information depth.
A309	response	Schémas d'argumentation	different levels of need	différents niveaux de besoin	différents niveaux de besoin	Cela permet de comprendre qu'Internet correspond très bien à différents niveaux de besoin.	Technologie P24	Adaptability phrase.
A310	response	Schémas d'argumentation	make daily life easier in practice	faciliter concrètement la vie quotidienne	facilite concrètement la vie quotidienne	Cela montre que la ville facilite concrètement la vie quotidienne, surtout quand l'autonomie diminue.	Santé P14	Show practical benefit.
S21	response	Structurer et prendre position	build a true personal culture	construire une vraie culture personnelle	construire une vraie culture personnelle	Cela permet de construire une vraie culture personnelle, qui reste utile sur le long terme et qui ne dépend pas d'une connexion ou d'un algorithme.	Culture P6	Construire works with abstract nouns.
S22	response	Structurer et prendre position	the value of the work done	la valeur du travail accompli	la valeur du travail accompli	Leur précarité est un vrai problème, mais cela ne change rien à la valeur du travail accompli.	Culture P7	Travail accompli = completed work.
S23	shared	Structurer et prendre position	provided they are trusted	à condition qu'on leur fasse confiance	à condition qu'on leur fasse confiance	Par exemple, un grand-parent qui passe régulièrement du temps avec ses petits-enfants ou un retraité engagé dans une association décrit souvent des jeunes motivés, créatifs et capables d'engagement, à condition qu'on leur fasse confiance.	Culture P8; Culture P2	À condition que + subjunctive.
S24	response	Structurer et prendre position	well-chosen television can play an educational role	jouer un vrai rôle éducatif	jouer un vrai rôle éducatif	Cela montre que la télévision, bien choisie, peut jouer un vrai rôle éducatif.	Culture P12	Educational close
S25	response	Structurer et prendre position	the use, not the medium itself	pas du support lui-même	pas du support lui-même	Mais cela vient de la manière de l'utiliser, pas du support lui-même.	Culture P12	Use lui-même to shift blame away from the medium.
S26	response	Éducation et apprentissage	they absolutely must remain in schools	doivent absolument rester à l'école	doivent absolument rester à l'école	En conclusion, je pense que les matières culturelles doivent absolument rester à l'école, parce qu'elles développent l'expression et l'esprit critique, ouvrent à d'autres cultures et peuvent révéler de vrais talents.	Culture P13	Use absolument to make a firm recommendation.
S27	response	Structurer et prendre position	part of a complete education	font partie d'une éducation complète	font partie d'une éducation complète	Loin d'être une perte de temps, elles font partie d'une éducation complète.	Culture P13	Faire partie de frames something as essential.
S28	response	Structurer et prendre position	combine these different resources	combiner ces différentes ressources	combiner ces différentes ressources	Le voyage garde donc une vraie valeur ; mais comme il n'est pas accessible à tout le monde, l'idéal reste de combiner ces différentes ressources.	Culture P14; Culture P6	Synthesis
S29	response	Structurer et prendre position	it is not the only gateway	il n'est pas la seule porte d'entrée	il n'est pas la seule porte d'entrée	Le voyage apporte une dimension directe que rien ne remplace totalement, mais il n'est pas la seule porte d'entrée vers les autres cultures.	Culture P14	Porte d'entrée means an entry point into a culture/topic.
S30	response	Structurer et prendre position	an important gateway	une porte d'entrée importante	une porte d'entrée importante	Elle est donc une porte d'entrée importante, mais elle doit être complétée par d'autres formes de découverte pour vraiment connaître un pays.	Culture P15	Use porte d'entrée for a first access route.
S31	response	Structurer et prendre position	must be complemented by other forms	complétée par d'autres formes de découverte	complétée par d'autres formes de découverte	Elle est donc une porte d'entrée importante, mais elle doit être complétée par d'autres formes de découverte pour vraiment connaître un pays.	Culture P15	Use être complété par to add necessary support.
S32	response	Structurer et prendre position	do not completely replace	ne remplacent pas complètement	ne remplacent pas complètement	Les outils numériques sont très utiles, mais ils ne remplacent pas complètement ce que ces lettres apportaient.	Culture P18	Use ne... pas complètement for a nuanced limit.
S33	response	Structurer et prendre position	language remains the key	la langue reste la clé	La langue reste la clé	La langue reste la clé qui ouvre l'accès aux vraies conversations, aux idées et à la vie réelle d'une société.	Culture P19	Rester la clé presents the decisive factor.
S34	response	Structurer et prendre position	an initial but limited knowledge of a country	une première connaissance d'un pays	une première connaissance d'un pays	Cela montre qu'il existe une première connaissance d'un pays sans la langue, mais qu'elle reste forcément limitée et souvent extérieure.	Culture P19	Une première connaissance suggests partial familiarity.
S35	response	Structurer et prendre position	reading remains one of the strongest options	la lecture reste l'une des plus solides	la lecture reste l'une des plus solides	Mais la lecture reste l'une des plus solides, parce qu'elle entraîne la pensée et donne accès à une part de l'héritage culturel que rien d'autre ne remplace vraiment.	Culture P20	Use rester l'un(e) des plus... to rank an option.
S36	response	Structurer et prendre position	a very enriching choice	un choix très enrichissant	un choix très enrichissant	Voyager seul reste donc un choix très enrichissant, mais qui doit correspondre à la personnalité de chacun.	Culture P21	Use choix enrichissant for a personally valuable option.
S37	response	Structurer et prendre position	keep one's culture intact	garder sa culture intacte	garder sa culture intacte	La vraie question n'est donc pas de garder sa culture intacte, mais de choisir ce que l'on veut conserver et transmettre.	Culture P27	Contrast intact vs chosen transmission.
S38	response	Structurer et prendre position	real substantive work	un vrai travail de fond	un vrai travail de fond	Elle doit prouver sa compétence, accepter un vrai travail de fond et se mettre au service de l'intérêt général, comme tout autre responsable politique.	Culture P33	Conclusion on legitimacy.
S39	response	Structurer et prendre position	in a more conscious, measured way	de manière plus consciente et plus mesurée	de manière plus consciente et plus mesurée	Le défi est de garder leurs avantages pratiques tout en apprenant à consommer de manière plus consciente et plus mesurée.	Culture P34	De manière + adjective describes how an action is done.
S40	response	Étranger et immigration	a matter of reception policy	une question de politique d'accueil	une question de politique d'accueil	La richesse de l'immigration est donc en grande partie une question de politique d'accueil.	Culture P35	Concluding policy frame.
S41	response	Structurer et prendre position	a prevention measure	une mesure de prévention	mesure de prévention	Cela montre que, dans ces métiers, la sieste n'est pas un confort mais une véritable mesure de prévention.	Economie P4	Public-health phrasing
S42	response	Structurer et prendre position	recognize the limits of its power	reconnaître les limites de son pouvoir	reconnaître les limites de son pouvoir	Cela oblige l'État à reconnaître les limites de son pouvoir et à accepter qu'une grande partie des choix individuels lui échappera toujours.	Culture P3; Economie P5	Use reconnaître les limites de... before conceding constraints.
S43	response	Structurer et prendre position	a real space of freedom	un véritable espace de liberté	un véritable espace de liberté	Le rôle de l'État n'est donc pas de tout encadrer, mais de fixer des limites raisonnables, de protéger l'intérêt général et de laisser aux citoyens, aux associations et aux entreprises un véritable espace de liberté.	Culture P3; Economie P5	Balance rules and freedom
S44	response	Structurer et prendre position	the first difficulty is structural	la première difficulté est structurelle	la première difficulté est structurelle	Cela montre que la première difficulté est structurelle : on demande aux jeunes ce qu'ils ne peuvent pas encore avoir.	Economie P10	Names systemic barrier
S45	response	Structurer et prendre position	access to opportunities	l'accès aux opportunités	l'accès aux opportunités	Cela permet de comprendre que la difficulté ne vient pas seulement des compétences, mais aussi de l'accès aux opportunités.	Economie P10	Opportunity barrier
S46	response	Structurer et prendre position	a lasting job	un emploi durable	un emploi durable	Cela montre que la difficulté n'est pas seulement de trouver un emploi, mais aussi de trouver un emploi durable.	Economie P10; Education P12; Economie P9	Stable-work expression
